InvoiceNo,Category,Product,Quantity,UnitPrice,InvoiceDate,CustomerID,Country
14297,Clothing,Shoes,1,134.89,2022-05-09 16:00:00,1179.0,Canada
10995,Clothing,Shoes,7,213.75,2022-03-16 13:00:00,1039.0,UK
17629,Electronics,Laptop,5,24.76,2022-05-07 12:00:00,1775.0,UK
19467,Clothing,Jeans,1,227.29,2022-11-04 09:00:00,1700.0,Canada
11016,Electronics,Headphones,3,290.92,2022-11-13 14:00:00,1519.0,Australia
17869,Books,Fiction,7,287.6,2022-07-21 14:00:00,1615.0,Canada
16439,Electronics,Smartphone,1,169.55,2022-09-02 16:00:00,1736.0,UK
17892,Home Decor,Lamp,7,161.19,2022-06-02 05:00:00,1545.0,Germany
16863,Electronics,Charger,5,57.78,2022-06-29 03:00:00,1235.0,UK
17916,Books,Biography,1,186.57,2022-02-10 13:00:00,1462.0,Germany
18529,Home Decor,,1,54.25,2022-10-23 03:00:00,1227.0,Germany
10878,Groceries,Butter,1,384.46,2022-08-17 22:00:00,1699.0,UK
19268,Groceries,Butter,9,483.31,2022-05-22 22:00:00,1824.0,USA
14887,Electronics,Laptop,3,485.19,2022-08-03 14:00:00,1482.0,Canada
14859,Electronics,Charger,5,433.21,2022-05-11 09:00:00,1429.0,France
16331,Books,Non-Fiction,9,302.39,2022-01-05 08:00:00,1021.0,UK
18571,Books,Non-Fiction,6,351.93,2022-11-06 17:00:00,1342.0,Germany
18684,Clothing,T-Shirt,9,146.18,2022-11-17 09:00:00,1039.0,UK
17208,Books,Fiction,8,317.23,2022-05-29 15:00:00,1172.0,Canada
15276,Clothing,Jacket,8,230.55,2022-07-01 04:00:00,1438.0,Australia
12062,Home Decor,Curtains,1,243.6,2022-07-02 22:00:00,1178.0,Germany
10064,Electronics,Charger,9,380.1,2022-10-11 19:00:00,1597.0,France
18006,Home Decor,Sofa,6,144.55,2022-02-19 05:00:00,1132.0,France
12568,Books,Non-Fiction,9,162.43,2022-07-13 12:00:00,1350.0,France
15463,Home Decor,Curtains,3,462.7,2022-09-02 17:00:00,1524.0,Australia
12027,Home Decor,Sofa,3,32.83,2022-07-03 02:00:00,1539.0,USA
12695,Home Decor,Chair,6,245.39,2022-05-28 06:00:00,1505.0,Germany
19687,Books,Textbook,9,456.84,2022-09-01 12:00:00,1083.0,Australia
15258,Home Decor,Lamp,7,307.13,2022-09-05 11:00:00,1992.0,Germany
15618,Clothing,Jacket,-1,275.47,2022-09-27 19:00:00,1463.0,Australia
16736,Books,Comics,3,128.62,2022-03-15 22:00:00,1829.0,Australia
10391,Home Decor,Lamp,2,174.92,2022-12-12 03:00:00,1860.0,USA
15892,Books,Textbook,9,426.76,2022-01-19 14:00:00,1342.0,Germany
13561,Groceries,Rice,3,281.81,2022-01-05 12:00:00,1279.0,Australia
16184,Clothing,T-Shirt,5,259.8,2022-05-15 23:00:00,1865.0,USA
13099,Home Decor,,9,54.29,2022-09-05 03:00:00,,UK
16278,Groceries,Rice,8,12.93,2022-06-18 21:00:00,1165.0,Canada
18392,Groceries,Bread,2,482.02,2022-07-09 01:00:00,1292.0,Australia
13104,Books,Fiction,3,191.61,2022-09-23 01:00:00,1508.0,France
17215,Groceries,Milk,2,303.59,2022-02-21 21:00:00,1579.0,USA
12454,Clothing,Cap,8,44.46,2022-04-24 08:00:00,1225.0,USA
18996,Clothing,Jeans,6,343.14,2022-12-19 21:00:00,1169.0,Australia
12731,Electronics,Laptop,6,466.62,2022-11-19 13:00:00,1597.0,USA
18154,Clothing,Cap,9,289.95,2022-08-01 17:00:00,1644.0,UK
19762,Groceries,Bread,8,67.43,2022-05-02 18:00:00,1447.0,USA
15056,Clothing,Shoes,4,292.95,2022-04-15 17:00:00,1689.0,Canada
18110,Books,Fiction,4,384.34,2022-04-27 17:00:00,1854.0,Canada
13840,Electronics,Smartphone,9,206.18,2022-10-18 21:00:00,1501.0,France
11028,Groceries,Milk,1,440.52,2022-12-09 13:00:00,1763.0,UK
17385,Electronics,Headphones,2,326.1,2022-09-28 22:00:00,1526.0,Canada
10502,Groceries,Eggs,2,450.13,2022-09-09 14:00:00,1734.0,Australia
16910,Books,Textbook,6,313.64,2022-09-17 13:00:00,1378.0,Germany
19062,Electronics,Smartphone,4,69.99,2022-01-16 04:00:00,1200.0,Germany
16938,Home Decor,Table,3,158.3,2022-03-17 00:00:00,1618.0,Germany
14488,Groceries,Butter,3,104.89,2022-09-06 06:00:00,1249.0,Australia
10206,Home Decor,Table,3,454.87,2022-11-06 20:00:00,1948.0,USA
15134,Electronics,Laptop,6,381.4,2022-07-19 17:00:00,1408.0,Australia
15977,Home Decor,Sofa,8,339.82,2022-12-07 00:00:00,1600.0,USA
17721,Home Decor,Table,7,153.98,2022-01-08 11:00:00,1124.0,Germany
17035,Electronics,Smartphone,4,96.1,2022-06-11 09:00:00,1112.0,France
11484,Books,Comics,4,379.44,2022-06-15 00:00:00,1980.0,France
17858,Home Decor,Table,2,239.71,2022-02-19 10:00:00,1136.0,USA
10863,Home Decor,Chair,1,116.77,2022-02-02 05:00:00,1758.0,Germany
12790,Books,Textbook,9,310.23,2022-07-05 20:00:00,1495.0,Australia
17408,Home Decor,Curtains,2,24.97,2022-01-15 16:00:00,1677.0,France
18755,Home Decor,Curtains,8,166.45,2022-10-17 07:00:00,1149.0,USA
15116,Home Decor,Sofa,9,236.94,2022-08-05 18:00:00,1874.0,Australia
16019,Clothing,Shoes,4,78.24,2022-08-11 16:00:00,1342.0,Germany
11757,Books,Fiction,8,492.4,2022-07-07 19:00:00,1944.0,UK
17574,Home Decor,Sofa,9,108.5,2022-07-21 06:00:00,1579.0,Germany
16374,Books,Fiction,5,69.52,2022-01-05 21:00:00,1732.0,Germany
16892,Groceries,Butter,7,105.75,2022-01-21 01:00:00,1782.0,Australia
11678,Groceries,Milk,4,385.69,2022-06-28 15:00:00,1320.0,Australia
13242,Home Decor,Chair,1,215.63,2022-10-11 10:00:00,1821.0,Canada
14636,Books,Non-Fiction,3,284.88,2022-12-12 18:00:00,1925.0,Canada
11059,Books,Biography,5,15.4,2022-07-06 13:00:00,1860.0,Australia
16668,Books,Biography,3,22.04,2022-09-30 05:00:00,1531.0,Australia
19914,Clothing,Jeans,7,225.68,2022-01-11 03:00:00,1288.0,UK
13157,Groceries,Milk,9,409.24,2022-10-20 04:00:00,1488.0,UK
15915,Books,Comics,-1,443.19,2022-02-06 01:00:00,1491.0,Germany
19789,Books,Non-Fiction,1,47.92,2022-08-11 01:00:00,1611.0,France
12693,Clothing,Cap,7,271.49,2022-01-26 03:00:00,1251.0,UK
13627,Clothing,T-Shirt,3,457.05,2022-08-28 20:00:00,1981.0,Germany
19555,Books,Non-Fiction,5,197.05,2022-06-17 10:00:00,1076.0,USA
15450,Electronics,Keyboard,4,415.64,2022-08-05 08:00:00,1646.0,Canada
11663,Books,Fiction,5,71.18,2022-03-25 23:00:00,1391.0,France
19721,Books,Non-Fiction,5,468.02,2022-05-21 20:00:00,1411.0,Germany
15592,Clothing,Cap,6,376.95,2022-06-07 02:00:00,1172.0,Australia
17392,Clothing,T-Shirt,6,470.96,2022-08-31 21:00:00,1874.0,USA
11306,Books,Non-Fiction,8,339.93,2022-03-09 05:00:00,1200.0,Canada
16776,Books,Comics,8,184.88,2022-03-20 07:00:00,1216.0,USA
15864,Books,Fiction,9,469.4,2022-08-12 20:00:00,1375.0,Germany
19474,Clothing,Jacket,8,141.41,2022-06-21 04:00:00,1719.0,UK
17526,Books,Biography,2,169.43,2022-01-07 04:00:00,1585.0,Canada
18901,Books,Fiction,1,351.9,2022-03-15 02:00:00,1010.0,USA
15575,Home Decor,Chair,2,383.83,2022-11-04 10:00:00,1798.0,UK
15530,Electronics,Laptop,2,465.05,2022-10-06 09:00:00,1767.0,France
14413,Groceries,Eggs,3,106.38,2022-06-06 12:00:00,1011.0,Germany
13748,Electronics,Charger,7,400.01,2022-08-13 16:00:00,1891.0,Germany
10663,Home Decor,Lamp,2,370.58,2022-05-08 04:00:00,1990.0,Canada
11998,Groceries,Eggs,1,36.58,2022-08-26 04:00:00,1589.0,USA
17994,Books,Non-Fiction,6,196.68,2022-06-25 18:00:00,1434.0,France
11495,Home Decor,Curtains,9,144.97,2022-07-20 03:00:00,1683.0,Australia
13304,Books,Non-Fiction,3,155.72,2022-04-10 01:00:00,1607.0,Canada
13763,Clothing,Cap,6,491.56,2022-07-31 22:00:00,1817.0,Australia
15232,Home Decor,Lamp,3,323.17,2022-05-13 14:00:00,1372.0,Canada
11853,Clothing,Cap,1,360.25,2022-05-12 16:00:00,1272.0,USA
16585,Home Decor,Curtains,5,488.43,2022-10-02 00:00:00,1930.0,France
11291,Home Decor,Sofa,4,191.71,2022-04-18 18:00:00,1896.0,USA
13581,Clothing,Jacket,7,401.91,2022-04-21 08:00:00,,Germany
17554,Groceries,Milk,6,220.09,2022-11-01 17:00:00,1690.0,Australia
17280,Electronics,Keyboard,7,435.42,2022-03-13 13:00:00,1575.0,UK
11636,Books,Non-Fiction,5,94.43,2022-08-10 04:00:00,1508.0,Germany
13696,Home Decor,Curtains,4,474.1,2022-11-05 15:00:00,1131.0,Germany
10698,Books,Biography,7,113.29,2022-02-06 06:00:00,1854.0,Australia
14737,Clothing,Cap,7,166.48,2022-05-29 22:00:00,1923.0,Canada
10854,Books,Comics,6,379.32,2022-08-31 19:00:00,1783.0,Germany
18164,Clothing,Shoes,8,199.91,2022-11-29 18:00:00,,France
15855,Books,Comics,4,306.06,2022-12-19 14:00:00,1843.0,Germany
17392,Electronics,Headphones,5,225.06,2022-08-29 09:00:00,1948.0,France
16528,Electronics,Smartphone,4,372.47,2022-08-27 21:00:00,1852.0,USA
15249,Electronics,Smartphone,1,118.02,2022-05-16 00:00:00,1620.0,Canada
15172,Electronics,Headphones,8,33.94,2022-07-23 21:00:00,1784.0,France
11707,Electronics,Keyboard,1,153.47,2022-02-06 22:00:00,,Germany
15791,Electronics,Laptop,5,239.78,2022-09-01 22:00:00,1396.0,Canada
19925,Clothing,T-Shirt,6,88.17,2022-08-10 14:00:00,1179.0,Canada
15535,Home Decor,Chair,6,180.62,2022-04-05 02:00:00,1057.0,France
14931,Books,Biography,5,202.99,2022-07-02 14:00:00,1479.0,France
13510,Electronics,Keyboard,3,33.41,2022-03-16 09:00:00,1932.0,UK
10202,Clothing,Shoes,5,293.74,2022-11-18 23:00:00,1590.0,UK
14218,Clothing,Jacket,8,442.75,2022-01-13 07:00:00,1459.0,Canada
18958,Clothing,Jacket,2,80.11,2022-04-19 05:00:00,1060.0,Australia
14389,Home Decor,Sofa,6,300.91,2022-01-29 08:00:00,1368.0,Australia
12327,Books,Comics,9,334.05,2022-07-23 18:00:00,1120.0,UK
18004,Home Decor,Chair,8,212.57,2022-06-29 02:00:00,1718.0,Germany
12931,Groceries,Eggs,8,352.04,2022-01-14 12:00:00,1545.0,USA
17777,Clothing,Shoes,8,208.31,2022-11-28 08:00:00,1581.0,Canada
10197,Groceries,Milk,7,254.8,2022-02-11 02:00:00,1016.0,USA
17125,Electronics,Smartphone,8,8.64,2022-05-10 22:00:00,1495.0,UK
11930,Electronics,Keyboard,6,347.4,2022-02-01 16:00:00,1496.0,France
16287,Home Decor,Chair,2,332.36,2022-11-20 06:00:00,1504.0,Canada
18800,Books,Biography,2,24.01,2022-02-07 18:00:00,1531.0,UK
19339,Groceries,Butter,8,187.28,2022-08-18 03:00:00,1968.0,Germany
14282,Books,Fiction,1,489.62,2022-01-16 04:00:00,1314.0,Canada
12511,Home Decor,Chair,6,213.26,2022-11-20 17:00:00,1068.0,Canada
19986,Electronics,Charger,6,253.46,2022-05-23 05:00:00,1726.0,Australia
10659,Books,Biography,4,455.42,2022-12-01 11:00:00,1160.0,France
12811,Books,Non-Fiction,3,360.04,2022-11-27 19:00:00,1613.0,Canada
17098,Electronics,Charger,3,293.12,2022-05-09 09:00:00,1887.0,France
16546,Groceries,Butter,1,399.91,2022-08-16 00:00:00,1717.0,UK
19561,Electronics,Headphones,3,432.86,2022-05-16 18:00:00,1144.0,Germany
11986,Books,Biography,4,231.16,2022-03-29 19:00:00,1568.0,Germany
18338,Groceries,Rice,5,240.18,2022-11-27 08:00:00,1594.0,Canada
12911,Groceries,Bread,3,196.1,2022-05-03 05:00:00,1992.0,Canada
11734,Electronics,Headphones,6,483.52,2022-04-28 21:00:00,1384.0,UK
11843,Books,Comics,5,350.1,2022-12-26 17:00:00,1268.0,Australia
18680,Home Decor,Sofa,3,46.2,2022-07-28 14:00:00,1922.0,Australia
12976,Books,Textbook,6,432.17,2022-03-06 23:00:00,1453.0,Australia
11959,Clothing,T-Shirt,6,242.88,2022-03-14 13:00:00,1698.0,France
15759,Home Decor,Curtains,8,39.03,2022-08-31 22:00:00,1517.0,Australia
16694,Groceries,Butter,2,277.11,2022-11-10 11:00:00,1864.0,Germany
12385,Home Decor,Table,1,211.5,2022-01-27 01:00:00,1349.0,France
14736,Groceries,Eggs,4,439.49,2022-03-12 10:00:00,1109.0,UK
11802,Groceries,Butter,7,105.98,2022-12-12 02:00:00,1482.0,Germany
18155,Home Decor,Chair,3,414.1,2022-09-20 22:00:00,1406.0,Germany
18120,Groceries,Eggs,3,281.06,2022-05-06 06:00:00,1649.0,USA
16616,Groceries,Butter,5,32.03,2022-06-29 06:00:00,1050.0,UK
15534,Clothing,Shoes,5,486.06,2022-02-15 08:00:00,1402.0,UK
14061,Books,Biography,3,258.74,2022-09-08 07:00:00,1562.0,USA
10262,Books,Fiction,9,148.98,2022-07-12 03:00:00,1475.0,France
16287,Clothing,Jeans,4,237.36,2022-11-27 08:00:00,1086.0,Australia
18815,Home Decor,Chair,3,429.64,2022-07-07 02:00:00,1067.0,Australia
19208,Electronics,Smartphone,2,155.93,2022-12-16 02:00:00,1595.0,Australia
12049,Electronics,Laptop,9,100.37,2022-03-08 13:00:00,1978.0,Australia
15423,Electronics,Smartphone,4,68.89,2022-06-06 03:00:00,1041.0,Australia
14548,Clothing,T-Shirt,3,152.44,2022-04-22 06:00:00,1730.0,USA
13108,Clothing,Cap,7,391.12,2022-12-18 07:00:00,1056.0,UK
17158,Groceries,Rice,8,238.46,2022-04-18 12:00:00,1737.0,France
17400,Electronics,Charger,2,117.6,2022-11-06 16:00:00,1195.0,Germany
13170,Home Decor,Table,7,87.26,2022-12-14 02:00:00,1759.0,Australia
19874,Home Decor,Table,5,169.7,2022-04-15 10:00:00,1677.0,USA
12255,Electronics,Keyboard,5,470.26,2022-07-16 21:00:00,1061.0,France
11154,Electronics,Keyboard,3,174.8,2022-06-29 04:00:00,1262.0,France
14499,Electronics,Keyboard,5,494.12,2022-10-19 18:00:00,1111.0,France
16295,Clothing,Jacket,2,245.19,2022-09-13 11:00:00,1764.0,USA
16197,Clothing,Jeans,4,93.69,2022-07-09 01:00:00,1710.0,Germany
19888,Clothing,Cap,6,446.11,2022-04-08 07:00:00,1177.0,Australia
11648,Books,Biography,1,232.88,2022-06-30 01:00:00,1947.0,France
15539,Home Decor,Table,4,356.29,2022-05-05 09:00:00,1025.0,USA
19637,Home Decor,Table,6,491.94,2022-01-24 07:00:00,1409.0,UK
14199,Groceries,Milk,9,29.84,2022-01-30 17:00:00,1757.0,USA
18445,Clothing,Cap,2,52.86,2022-07-11 09:00:00,1530.0,USA
12557,Books,Fiction,7,361.63,2022-06-16 04:00:00,,USA
15592,Books,Comics,6,144.5,2022-09-16 11:00:00,1316.0,France
10098,Home Decor,Chair,2,96.23,2022-01-11 16:00:00,1531.0,USA
12200,Clothing,T-Shirt,8,24.48,2022-01-02 13:00:00,1105.0,UK
12961,Groceries,Milk,7,15.81,2022-12-27 12:00:00,1748.0,France
14973,Clothing,Jeans,5,388.37,2022-03-18 08:00:00,1817.0,UK
14433,Electronics,Headphones,5,71.54,2022-11-13 16:00:00,1463.0,Canada
12869,Clothing,Cap,7,236.52,2022-08-04 07:00:00,1245.0,USA
10956,Electronics,Laptop,9,304.92,2022-01-19 00:00:00,1080.0,Australia
18352,Electronics,Keyboard,9,217.03,2022-06-22 23:00:00,,Australia
15699,Groceries,Rice,9,18.42,2022-09-25 03:00:00,1908.0,France
16944,Home Decor,Sofa,6,392.83,2022-03-14 23:00:00,1395.0,Australia
14493,Clothing,Jacket,6,10.2,2022-07-28 05:00:00,1521.0,France
19492,Electronics,Headphones,3,382.14,2022-08-27 08:00:00,1832.0,USA
14911,Clothing,Cap,1,447.19,2022-11-14 08:00:00,1735.0,Germany
13987,Home Decor,Sofa,7,219.26,2022-01-11 16:00:00,1925.0,Germany
19719,Home Decor,Chair,4,270.09,2022-01-28 23:00:00,1263.0,UK
16015,Books,Comics,1,241.11,2022-01-21 09:00:00,1660.0,USA
11218,Home Decor,Lamp,8,197.66,2022-10-15 01:00:00,1789.0,Australia
14496,Groceries,Butter,6,444.28,2022-03-29 08:00:00,1273.0,USA
14735,Electronics,Headphones,6,447.5,2022-03-12 02:00:00,1705.0,Canada
14555,Books,Biography,2,171.23,2022-04-13 12:00:00,1943.0,Germany
19146,Groceries,Milk,1,309.46,2022-07-08 17:00:00,1171.0,Australia
18050,Clothing,Shoes,2,463.82,2022-08-02 09:00:00,1264.0,Germany
13446,Electronics,Headphones,4,481.22,2022-03-24 07:00:00,1962.0,USA
11045,Home Decor,Sofa,2,256.93,2022-05-15 00:00:00,1821.0,Australia
16893,Electronics,Headphones,1,229.15,2022-07-08 03:00:00,1025.0,UK
11693,Clothing,Shoes,7,142.95,2022-08-26 04:00:00,1468.0,USA
13436,Books,Comics,8,479.64,2022-07-25 19:00:00,,UK
18754,Books,Comics,6,75.69,2022-08-20 19:00:00,1475.0,Australia
15895,Books,Non-Fiction,4,292.02,2022-05-04 11:00:00,1355.0,Germany
13354,Home Decor,Chair,6,144.86,2022-07-08 17:00:00,1025.0,Canada
10225,Groceries,Milk,3,143.11,2022-10-10 18:00:00,1033.0,France
14893,Groceries,Eggs,8,205.46,2022-09-16 08:00:00,1263.0,Germany
17022,Electronics,Keyboard,2,499.4,2022-02-10 16:00:00,1137.0,UK
19151,Home Decor,Table,5,32.21,2022-11-03 01:00:00,1815.0,USA
15600,Books,Comics,1,291.38,2022-01-02 21:00:00,1694.0,Australia
17996,Books,Fiction,6,45.87,2022-02-19 17:00:00,1874.0,Germany
19007,Clothing,Jeans,2,81.49,2022-07-08 00:00:00,1753.0,Canada
17683,Clothing,Jacket,4,222.58,2022-07-25 23:00:00,1565.0,Australia
14642,Books,Biography,6,257.68,2022-09-19 18:00:00,1461.0,UK
17679,Books,Non-Fiction,8,133.1,2022-01-11 06:00:00,1167.0,Australia
18208,Home Decor,Table,8,161.65,2022-05-15 03:00:00,1630.0,Australia
17339,Groceries,Butter,6,48.05,2022-01-27 12:00:00,1654.0,USA
19435,Clothing,Jeans,4,155.09,2022-06-07 07:00:00,1080.0,France
12205,Groceries,Milk,8,483.45,2022-04-11 21:00:00,1756.0,UK
11069,Home Decor,Curtains,8,472.63,2022-06-24 07:00:00,1913.0,USA
13444,Books,Comics,1,170.76,2022-01-30 16:00:00,1863.0,France
11060,Groceries,Bread,4,287.57,2022-09-01 13:00:00,1869.0,USA
12327,Books,Comics,4,455.25,2022-08-10 19:00:00,1406.0,France
13420,Books,Fiction,7,8.06,2022-09-09 08:00:00,1573.0,France
10301,Electronics,Charger,7,406.29,2022-06-01 20:00:00,1045.0,France
10606,Groceries,Milk,8,474.44,2022-11-20 21:00:00,1598.0,USA
13170,Groceries,Milk,5,50.21,2022-03-29 20:00:00,1610.0,Australia
10699,Books,Comics,7,84.92,2022-05-31 14:00:00,1806.0,France
15088,Home Decor,Lamp,8,480.57,2022-10-17 21:00:00,1910.0,Australia
19331,Electronics,Keyboard,9,271.08,2022-08-08 23:00:00,,UK
10190,Books,Comics,3,12.03,2022-06-30 12:00:00,1983.0,Canada
10980,Clothing,T-Shirt,3,132.53,2022-06-12 12:00:00,1703.0,Australia
12975,Clothing,Jacket,4,227.72,2022-11-27 19:00:00,1958.0,Canada
16102,Electronics,Laptop,5,347.99,2022-10-18 03:00:00,1475.0,France
11184,Home Decor,Sofa,1,367.91,2022-07-10 08:00:00,1591.0,Canada
13327,Books,Biography,7,497.73,2022-11-23 14:00:00,1015.0,Canada
13394,Groceries,Rice,9,147.32,2022-03-18 21:00:00,1359.0,France
18319,Electronics,Charger,8,271.42,2022-01-16 22:00:00,1486.0,Australia
11816,Home Decor,,5,269.0,2022-06-21 08:00:00,1837.0,France
15854,Groceries,Eggs,4,205.79,2022-10-22 13:00:00,1705.0,UK
16709,Clothing,Jeans,7,88.74,2022-06-08 18:00:00,1501.0,Germany
10569,Clothing,T-Shirt,5,488.84,2022-03-04 21:00:00,1140.0,USA
15442,Groceries,Milk,7,427.39,2022-11-12 13:00:00,1619.0,France
11895,Electronics,Keyboard,1,251.67,2022-03-07 18:00:00,1814.0,France
12733,Clothing,Shoes,1,303.61,2022-02-06 15:00:00,1776.0,Canada
13863,Books,Fiction,3,117.49,2022-04-01 02:00:00,1446.0,UK
17455,Groceries,Rice,2,274.17,2022-11-18 10:00:00,1289.0,Canada
14014,Groceries,Bread,2,349.01,2022-02-26 15:00:00,1208.0,Australia
11686,Clothing,Jeans,7,260.01,2022-07-04 15:00:00,1474.0,France
13009,Electronics,Headphones,2,495.19,2022-12-06 12:00:00,1412.0,France
17806,Books,Biography,4,307.61,2022-06-15 00:00:00,1676.0,Canada
10154,Electronics,Keyboard,2,188.63,2022-06-08 19:00:00,1426.0,France
11409,Home Decor,Curtains,6,387.22,2022-06-26 18:00:00,1853.0,Australia
10784,Home Decor,Table,-1,89.38,2022-06-25 17:00:00,,Germany
18096,Clothing,Jeans,4,195.34,2022-01-04 08:00:00,1831.0,USA
17560,Clothing,Jacket,5,176.74,2022-04-24 20:00:00,1663.0,USA
17343,Clothing,Jacket,4,218.74,2022-11-23 09:00:00,1966.0,USA
17206,Home Decor,Curtains,3,391.98,2022-04-23 21:00:00,1289.0,Germany
15596,Electronics,Headphones,5,244.67,2022-04-11 22:00:00,1431.0,France
15801,Electronics,Smartphone,9,398.04,2022-06-01 17:00:00,1267.0,Canada
12806,Clothing,Jacket,8,290.36,2022-01-28 19:00:00,1150.0,UK
10537,Books,Biography,8,174.32,2022-04-15 00:00:00,1718.0,France
15986,Electronics,Keyboard,8,405.94,2022-05-26 19:00:00,1254.0,Germany
11841,Home Decor,Chair,8,122.95,2022-12-03 16:00:00,1352.0,Australia
18716,Groceries,Butter,7,116.07,2022-10-12 07:00:00,1376.0,Germany
16971,Groceries,Rice,8,254.73,2022-02-19 13:00:00,1652.0,USA
