Order_ID,Order_Date,Customer_ID,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Profit,Discount
CA-2019-1034,2019-03-15,CUS-1033,Central,Technology,Phones,Samsung Galaxy Note 9,2,1799.98,420.00,0.15
CA-2019-1035,2019-03-28,CUS-1034,South,Furniture,Furnishings,Wall Clock,2,110.00,25.00,0.0
CA-2019-1036,2019-04-05,CUS-1035,West,Office Supplies,Storage,Steel File Cabinet,2,260.00,40.00,0.1
CA-2019-1037,2019-04-21,CUS-1036,East,Technology,Accessories,HDMI Cable,3,30.00,8.00,0.0
CA-2019-1038,2019-05-10,CUS-1037,Central,Furniture,Tables,Work Desk,1,820.00,150.00,0.05
CA-2019-1039,2019-05-25,CUS-1038,South,Office Supplies,Paper,Notebook Pack,6,18.00,3.60,0.0
CA-2019-1040,2019-06-12,CUS-1039,West,Technology,Accessories,Wireless Headphones,2,180.00,45.00,0.1
CA-2019-1041,2019-06-27,CUS-1040,East,Furniture,Furnishings,Floor Mat,1,70.00,10.00,0.0
CA-2019-1042,2019-07-05,CUS-1041,Central,Technology,Phones,Apple iPhone XR,2,1598.00,370.00,0.1
CA-2019-1043,2019-07-19,CUS-1042,South,Office Supplies,Art,Color Pencils,4,32.00,5.00,0.0
CA-2019-1044,2019-08-02,CUS-1043,West,Furniture,Bookcases,Metal Bookcase,1,320.00,60.00,0.05
CA-2019-1045,2019-08-18,CUS-1044,East,Technology,Accessories,Portable Charger,2,65.00,12.00,0.05
CA-2019-1046,2019-09-03,CUS-1045,Central,Office Supplies,Binders,Small Binder,5,22.00,4.00,0.0
CA-2019-1047,2019-09-18,CUS-1046,South,Furniture,Chairs,Leather Chair,1,490.00,95.00,0.1
CA-2019-1048,2019-10-05,CUS-1047,West,Technology,Phones,Google Pixel 3,1,899.00,180.00,0.1
CA-2019-1049,2019-10-21,CUS-1048,East,Office Supplies,Storage,Plastic Organizer,3,39.00,8.00,0.0
CA-2019-1050,2019-11-10,CUS-1049,Central,Technology,Accessories,Bluetooth Speaker,2,150.00,35.00,0.05
CA-2019-1051,2019-11-23,CUS-1050,South,Furniture,Tables,Standing Desk,1,760.00,160.00,0.1
CA-2019-1052,2019-12-06,CUS-1051,West,Office Supplies,Paper,Photo Paper,4,20.00,5.00,0.0
CA-2019-1053,2019-12-20,CUS-1052,East,Furniture,Furnishings,Office Rug,1,85.00,18.00,0.0
CA-2020-1054,2020-01-08,CUS-1053,Central,Technology,Phones,Samsung Galaxy S10,2,1899.00,400.00,0.1
CA-2020-1055,2020-01-22,CUS-1054,South,Office Supplies,Storage,Desk Organizer,3,66.00,12.00,0.0
CA-2020-1056,2020-02-06,CUS-1055,West,Furniture,Chairs,Executive Mesh Chair,1,520.00,100.00,0.1
CA-2020-1057,2020-02-19,CUS-1056,East,Technology,Accessories,Laptop Stand,2,75.00,15.00,0.0
CA-2020-1058,2020-03-03,CUS-1057,Central,Office Supplies,Art,Drawing Paper,3,24.00,5.00,0.0
CA-2020-1059,2020-03-20,CUS-1058,South,Furniture,Tables,Coffee Table,1,450.00,80.00,0.1
CA-2020-1060,2020-04-02,CUS-1059,West,Technology,Accessories,Webcam HD,2,140.00,28.00,0.05
CA-2020-1061,2020-04-17,CUS-1060,East,Office Supplies,Binders,Heavy Duty Binder,5,45.00,9.00,0.0
CA-2020-1062,2020-05-03,CUS-1061,Central,Furniture,Bookcases,Small Wooden Bookcase,1,240.00,48.00,0.0
CA-2020-1063,2020-05-20,CUS-1062,South,Technology,Phones,OnePlus 7T,2,1180.00,230.00,0.05
CA-2020-1064,2020-06-07,CUS-1063,West,Office Supplies,Storage,Metal Drawer,1,200.00,40.00,0.1
