OrderID,OrderDate,ShipDate,Region,State,Category,SubCategory,Segment,ShipMode,Quantity,Sales,Discount,Profit
10019,2022-06-01,2022-06-03,South,Georgia,Technology,Copiers,Home Office,First Class,6,1785.31,0.0,236.07
10020,2022-05-11,2022-05-12,Central,Illinois,Furniture,Bookcases,Home Office,Second Class,9,1578.14,0.3,-200.49
10021,2022-05-30,2022-06-03,West,California,Office Supplies,Binders,Consumer,Standard Class,2,259.47,0.2,37.17
10022,2022-11-05,2022-11-10,South,Georgia,Furniture,Bookcases,Corporate,Standard Class,5,2337.54,0.5,-1400.44
10023,2022-09-15,2022-09-19,South,Alabama,Office Supplies,Binders,Consumer,First Class,6,1134.15,0.3,-27.89
10024,2022-12-10,2022-12-11,East,Florida,Technology,Phones,Consumer,Second Class,8,3595.32,0.2,-315.47
10025,2023-05-07,2023-05-13,South,Alabama,Furniture,Bookcases,Corporate,First Class,8,2812.09,0.1,106.86
10026,2023-02-18,2023-02-24,East,New York,Furniture,Chairs,Home Office,First Class,4,50.39,0.0,4.81
10027,2022-10-21,2022-10-25,Central,Ohio,Office Supplies,Paper,Corporate,Same Day,6,2025.81,0.0,423.86
10028,2023-01-21,2023-01-24,East,Massachusetts,Furniture,Tables,Consumer,First Class,8,1948.35,0.5,-516.81
10029,2022-07-11,2022-07-15,West,Oregon,Technology,Phones,Home Office,Standard Class,6,2905.9,0.3,-689.52
10030,2023-03-20,2023-03-22,Central,Ohio,Office Supplies,Binders,Corporate,Same Day,1,370.76,0.3,-145.55
10031,2022-10-04,2022-10-06,East,New York,Technology,Accessories,Consumer,Standard Class,6,1768.84,0.2,205.2
10032,2022-06-10,2022-06-16,West,Washington,Furniture,Bookcases,Corporate,Standard Class,3,106.18,0.1,-2.43
10033,2023-04-05,2023-04-08,South,Alabama,Office Supplies,Paper,Consumer,Same Day,5,205.27,0.3,-71.67
10034,2022-11-10,2022-11-11,East,Florida,Office Supplies,Pens,Consumer,Same Day,8,3254.71,0.0,-262.29
10035,2022-01-22,2022-01-24,Central,Illinois,Furniture,Tables,Corporate,Same Day,9,3442.6,0.2,-390.45
10036,2022-09-10,2022-09-16,East,Florida,Technology,Copiers,Corporate,Standard Class,6,1270.81,0.0,349.93
10037,2022-08-24,2022-08-29,East,New York,Furniture,Bookcases,Home Office,First Class,2,141.81,0.2,16.9
10038,2022-12-11,2022-12-17,East,New York,Office Supplies,Binders,Home Office,Same Day,3,127.75,0.3,-3.72
10039,2022-02-18,2022-02-20,East,Massachusetts,Technology,Phones,Corporate,Same Day,8,3325.53,0.5,-1826.34
10040,2023-04-20,2023-04-22,Central,Texas,Technology,Copiers,Consumer,Second Class,3,271.47,0.5,-144.46
10041,2022-02-28,2022-03-06,East,Florida,Technology,Phones,Corporate,Standard Class,4,659.75,0.1,-35.48
10042,2022-06-19,2022-06-20,South,Alabama,Furniture,Tables,Home Office,First Class,8,1851.64,0.2,-70.27
10043,2023-04-21,2023-04-25,Central,Ohio,Office Supplies,Binders,Home Office,Second Class,1,376.33,0.0,-12.76
10044,2022-07-07,2022-07-09,East,Massachusetts,Office Supplies,Binders,Consumer,Same Day,1,201.83,0.1,4.4
10045,2023-04-09,2023-04-15,West,Washington,Technology,Accessories,Corporate,Standard Class,8,977.78,0.2,-131.25
10046,2022-09-28,2022-10-04,Central,Ohio,Office Supplies,Pens,Corporate,Second Class,3,952.73,0.1,-171.84
10047,2022-07-09,2022-07-12,East,Massachusetts,Technology,Accessories,Corporate,Same Day,1,271.4,0.2,12.02
10048,2023-03-22,2023-03-26,West,California,Office Supplies,Paper,Home Office,Same Day,6,2272.07,0.5,-1194.55
10049,2022-06-24,2022-06-29,Central,Texas,Technology,Accessories,Home Office,Second Class,7,560.93,0.3,-92.58
10050,2023-03-22,2023-03-23,West,Washington,Technology,Phones,Home Office,Standard Class,5,2198.08,0.0,-216.6
10051,2022-02-20,2022-02-25,Central,Illinois,Office Supplies,Paper,Consumer,Standard Class,4,935.72,0.3,-235.2
10052,2022-12-30,2023-01-03,East,New York,Office Supplies,Paper,Home Office,Standard Class,8,667.68,0.3,-59.34
10053,2022-02-24,2022-02-28,Central,Illinois,Furniture,Chairs,Consumer,First Class,2,31.96,0.2,-0.1
10054,2022-09-01,2022-09-05,East,New York,Office Supplies,Paper,Consumer,First Class,4,1443.71,0.2,-255.76
10055,2022-11-16,2022-11-21,West,California,Furniture,Tables,Consumer,First Class,8,2366.9,0.1,529.34
10056,2022-05-11,2022-05-15,South,Louisiana,Technology,Copiers,Consumer,First Class,8,2063.08,0.0,-45.37
10057,2023-04-30,2023-05-06,South,Georgia,Furniture,Bookcases,Corporate,Standard Class,8,3498.73,0.3,-1395.62
10058,2022-11-03,2022-11-08,West,California,Technology,Copiers,Corporate,Standard Class,4,1588.57,0.5,-470.82
10059,2022-05-15,2022-05-19,South,Alabama,Technology,Phones,Consumer,Standard Class,1,292.38,0.1,-63.02
10060,2022-01-21,2022-01-27,Central,Illinois,Technology,Phones,Consumer,First Class,3,1112.57,0.0,347.99
10061,2022-11-25,2022-11-28,West,Washington,Office Supplies,Paper,Corporate,Standard Class,7,491.24,0.5,-77.41
10062,2022-06-16,2022-06-20,Central,Ohio,Technology,Copiers,Home Office,Same Day,4,284.34,0.0,4.57
10063,2022-10-01,2022-10-06,Central,Texas,Office Supplies,Pens,Home Office,Second Class,6,1585.38,0.5,-729.83
10064,2023-01-23,2023-01-25,South,Alabama,Furniture,Tables,Consumer,Second Class,5,871.23,0.3,-48.88
10065,2022-03-30,2022-04-03,West,Oregon,Office Supplies,Binders,Consumer,Second Class,9,593.92,0.3,-107.68
10066,2022-11-12,2022-11-14,East,New York,Office Supplies,Binders,Home Office,Standard Class,6,1078.26,0.1,-10.33
10067,2022-01-14,2022-01-20,West,California,Furniture,Chairs,Corporate,Standard Class,1,297.66,0.2,-36.84
10068,2022-08-30,2022-09-02,East,New York,Office Supplies,Paper,Consumer,Standard Class,3,394.89,0.0,39.17
10069,2022-09-22,2022-09-23,East,Massachusetts,Office Supplies,Paper,Home Office,First Class,6,159.6,0.0,4.98
10070,2022-12-12,2022-12-15,East,Massachusetts,Technology,Phones,Consumer,Second Class,6,707.09,0.1,57.82
10071,2022-02-22,2022-02-26,Central,Ohio,Technology,Accessories,Consumer,Second Class,7,3416.11,0.0,-258.49
10072,2023-01-21,2023-01-23,East,Massachusetts,Technology,Accessories,Home Office,Same Day,6,2590.26,0.5,-1444.77
10073,2022-12-06,2022-12-08,West,California,Furniture,Chairs,Consumer,Same Day,7,2112.17,0.5,-953.31
10074,2022-04-02,2022-04-07,East,Florida,Furniture,Tables,Consumer,Second Class,3,338.56,0.2,-59.35
10075,2023-01-02,2023-01-04,West,Oregon,Furniture,Bookcases,Consumer,First Class,1,27.91,0.2,-8.85
10076,2023-03-20,2023-03-25,East,Massachusetts,Technology,Accessories,Corporate,Standard Class,3,696.33,0.1,12.0
10077,2023-03-31,2023-04-06,Central,Texas,Furniture,Chairs,Consumer,Same Day,1,206.37,0.2,-56.21
10078,2023-03-04,2023-03-05,South,Georgia,Office Supplies,Pens,Consumer,Second Class,1,173.84,0.2,-28.4
10079,2022-09-21,2022-09-25,South,Louisiana,Technology,Phones,Consumer,Standard Class,3,976.68,0.3,-48.47
10080,2023-03-07,2023-03-12,East,Massachusetts,Office Supplies,Pens,Home Office,Same Day,7,605.6,0.1,111.13
10081,2022-02-04,2022-02-05,West,Washington,Furniture,Bookcases,Consumer,Standard Class,8,186.22,0.2,-43.66
10082,2022-07-25,2022-07-27,East,Florida,Furniture,Chairs,Consumer,Same Day,8,488.11,0.5,-273.7
10083,2022-03-22,2022-03-24,Central,Texas,Technology,Accessories,Corporate,Same Day,1,282.79,0.1,43.17
10084,2023-02-24,2023-02-25,Central,Texas,Furniture,Tables,Consumer,Same Day,8,2911.29,0.2,382.32
10085,2022-02-19,2022-02-21,Central,Texas,Technology,Accessories,Home Office,Second Class,4,1349.45,0.5,-602.94
10086,2022-12-26,2023-01-01,East,Massachusetts,Technology,Phones,Corporate,Same Day,7,3144.43,0.1,-651.67
10087,2023-01-23,2023-01-29,West,California,Office Supplies,Binders,Home Office,First Class,7,2979.08,0.5,-630.9
10088,2022-01-02,2022-01-03,South,Alabama,Office Supplies,Pens,Consumer,First Class,2,894.82,0.5,-428.7
10089,2023-01-25,2023-01-30,East,New York,Furniture,Bookcases,Consumer,First Class,2,375.8,0.3,-13.03
10090,2022-02-23,2022-02-28,South,Alabama,Furniture,Bookcases,Home Office,First Class,5,1053.06,0.0,71.67
10091,2022-04-16,2022-04-17,West,Oregon,Technology,Copiers,Corporate,First Class,3,1424.23,0.3,-541.13
10092,2022-09-17,2022-09-22,Central,Texas,Office Supplies,Pens,Consumer,Second Class,8,3942.64,0.0,364.26
10093,2022-11-06,2022-11-11,South,Georgia,Furniture,Bookcases,Consumer,Second Class,1,141.65,0.1,9.45
10094,2023-04-22,2023-04-28,West,Oregon,Furniture,Tables,Corporate,First Class,7,817.82,0.2,-113.8
10095,2022-07-10,2022-07-15,West,Oregon,Technology,Accessories,Home Office,First Class,2,286.86,0.2,17.58
10096,2023-02-06,2023-02-09,South,Georgia,Furniture,Bookcases,Home Office,Second Class,5,2046.88,0.0,-26.55
10097,2022-08-06,2022-08-10,East,Florida,Office Supplies,Binders,Consumer,First Class,1,208.57,0.1,22.96
10098,2022-02-13,2022-02-15,East,Florida,Technology,Phones,Consumer,Standard Class,5,76.94,0.5,-39.87
10099,2022-06-11,2022-06-14,South,Georgia,Technology,Copiers,Consumer,First Class,6,2212.62,0.1,111.2
10100,2022-07-21,2022-07-26,East,New York,Furniture,Bookcases,Home Office,Same Day,9,2269.75,0.1,470.31
10101,2023-03-22,2023-03-28,West,Washington,Technology,Copiers,Consumer,Second Class,5,988.69,0.1,-38.54
10102,2023-04-29,2023-04-30,Central,Ohio,Furniture,Tables,Corporate,First Class,2,182.96,0.2,-47.17
10103,2022-09-27,2022-10-02,South,Georgia,Office Supplies,Paper,Consumer,Standard Class,5,1527.72,0.1,-329.8
10104,2022-12-17,2022-12-23,Central,Illinois,Office Supplies,Pens,Consumer,Second Class,8,1793.8,0.3,-162.3
10105,2022-10-31,2022-11-04,South,Georgia,Office Supplies,Binders,Consumer,First Class,7,2163.69,0.1,-111.81
10106,2022-09-28,2022-10-03,East,New York,Office Supplies,Pens,Home Office,Same Day,8,3752.37,0.5,-1531.43
10107,2023-04-01,2023-04-02,East,Florida,Furniture,Bookcases,Consumer,Second Class,4,1098.09,0.2,-57.61
10108,2023-04-07,2023-04-13,Central,Texas,Furniture,Chairs,Corporate,Second Class,1,253.22,0.5,-145.01
10109,2022-08-03,2022-08-09,South,Louisiana,Office Supplies,Binders,Consumer,Standard Class,9,3489.72,0.5,-1667.42
10110,2022-09-09,2022-09-15,Central,Texas,Technology,Copiers,Corporate,First Class,8,2934.5,0.0,594.13
10111,2022-07-09,2022-07-13,Central,Illinois,Furniture,Bookcases,Consumer,Same Day,8,1784.52,0.2,106.27
10112,2022-10-23,2022-10-28,South,Alabama,Furniture,Tables,Corporate,Standard Class,5,55.73,0.2,-11.92
10113,2022-08-01,2022-08-05,South,Alabama,Furniture,Tables,Home Office,Second Class,2,121.03,0.5,-73.13
10114,2022-07-27,2022-07-29,West,Washington,Technology,Copiers,Corporate,Standard Class,1,77.04,0.1,7.34
10115,2022-08-25,2022-08-27,West,California,Furniture,Bookcases,Home Office,Standard Class,1,100.72,0.2,1.62
10116,2022-12-04,2022-12-09,East,Massachusetts,Office Supplies,Binders,Home Office,Same Day,5,1909.64,0.5,-580.27
10117,2023-01-02,2023-01-06,Central,Ohio,Technology,Copiers,Home Office,Standard Class,6,2942.9,0.1,-15.56
10118,2022-02-22,2022-02-23,Central,Texas,Office Supplies,Pens,Home Office,Standard Class,9,4253.3,0.1,187.71
10119,2022-10-07,2022-10-13,West,Oregon,Technology,Phones,Consumer,First Class,1,98.48,0.5,-40.71
10120,2023-02-14,2023-02-20,East,New York,Furniture,Tables,Consumer,Same Day,7,186.43,0.5,-53.04
10121,2022-08-05,2022-08-10,Central,Illinois,Furniture,Chairs,Consumer,First Class,3,1388.86,0.1,-54.33
10122,2022-09-09,2022-09-11,West,Oregon,Furniture,Chairs,Corporate,Same Day,2,750.16,0.3,-20.8
10123,2022-07-07,2022-07-09,Central,Ohio,Furniture,Chairs,Consumer,First Class,2,531.99,0.0,93.14
10124,2023-01-15,2023-01-21,South,Alabama,Technology,Copiers,Home Office,Standard Class,8,981.63,0.3,-205.62
10125,2023-05-08,2023-05-13,West,California,Office Supplies,Binders,Consumer,Second Class,3,1053.54,0.1,118.4
10126,2022-02-10,2022-02-14,West,Washington,Technology,Copiers,Home Office,Same Day,7,1151.45,0.0,137.25
10127,2022-06-06,2022-06-08,West,Oregon,Technology,Accessories,Corporate,Same Day,6,997.13,0.1,10.06
10128,2022-01-15,2022-01-19,Central,Ohio,Technology,Copiers,Home Office,First Class,2,43.91,0.1,10.77
10129,2022-10-28,2022-10-30,East,Florida,Office Supplies,Pens,Consumer,Second Class,7,706.17,0.1,155.03
10130,2022-03-06,2022-03-08,West,California,Technology,Accessories,Home Office,Second Class,3,132.94,0.3,-56.32
10131,2022-12-11,2022-12-14,South,Alabama,Office Supplies,Pens,Home Office,First Class,1,206.95,0.5,-84.87
10132,2022-11-23,2022-11-25,West,Oregon,Furniture,Tables,Home Office,Second Class,8,1145.01,0.0,268.09
10133,2022-01-09,2022-01-10,West,Oregon,Office Supplies,Pens,Consumer,First Class,9,1573.39,0.3,-127.77
10134,2022-12-10,2022-12-15,South,Louisiana,Technology,Copiers,Corporate,Standard Class,1,64.13,0.1,-6.53
10135,2022-05-09,2022-05-14,East,Florida,Furniture,Tables,Consumer,Second Class,5,153.13,0.0,46.73
10136,2023-05-07,2023-05-11,West,Washington,Office Supplies,Binders,Corporate,First Class,9,572.75,0.0,108.72
10137,2022-05-16,2022-05-18,East,Florida,Office Supplies,Paper,Consumer,Same Day,5,1976.55,0.2,-110.14
10138,2023-04-17,2023-04-18,East,Massachusetts,Technology,Copiers,Corporate,Standard Class,7,3085.38,0.2,314.28
10139,2022-03-04,2022-03-08,South,Georgia,Office Supplies,Pens,Corporate,Same Day,2,183.69,0.3,-76.69
10140,2022-05-19,2022-05-22,South,Georgia,Furniture,Bookcases,Corporate,Standard Class,8,3775.51,0.5,-886.03
10141,2023-05-14,2023-05-18,Central,Illinois,Technology,Copiers,Home Office,Standard Class,2,396.41,0.0,-22.51
10142,2022-03-22,2022-03-26,Central,Ohio,Technology,Accessories,Consumer,Standard Class,3,1244.52,0.5,-772.94
10143,2023-01-27,2023-01-29,West,Oregon,Furniture,Tables,Corporate,First Class,7,3101.39,0.2,-159.3
10144,2022-06-12,2022-06-15,West,Oregon,Furniture,Chairs,Corporate,First Class,1,95.21,0.1,0.73
10145,2023-02-23,2023-02-27,Central,Illinois,Office Supplies,Pens,Corporate,Second Class,2,702.1,0.2,40.66
10146,2022-10-16,2022-10-17,South,Georgia,Technology,Accessories,Home Office,Same Day,6,1891.44,0.5,-721.61
10147,2023-01-14,2023-01-15,Central,Illinois,Technology,Phones,Home Office,Standard Class,9,4036.6,0.5,-2439.14
10148,2022-09-18,2022-09-23,West,Oregon,Furniture,Chairs,Consumer,Second Class,9,1815.06,0.2,-517.73
10149,2023-05-05,2023-05-08,East,Massachusetts,Furniture,Tables,Consumer,Same Day,9,285.7,0.1,51.73
10150,2022-08-19,2022-08-22,Central,Texas,Furniture,Tables,Home Office,Same Day,9,1541.12,0.0,193.3
10151,2022-02-10,2022-02-15,Central,Ohio,Office Supplies,Pens,Home Office,Same Day,2,420.28,0.2,4.92
10152,2022-01-28,2022-02-01,East,Massachusetts,Technology,Accessories,Home Office,Standard Class,2,99.43,0.3,-39.3
10153,2022-05-15,2022-05-18,Central,Ohio,Office Supplies,Pens,Home Office,First Class,5,2479.11,0.1,-6.02
10154,2022-07-20,2022-07-21,Central,Illinois,Furniture,Tables,Consumer,Standard Class,3,1242.28,0.1,27.19
10155,2022-11-24,2022-11-25,West,Oregon,Furniture,Tables,Consumer,Same Day,1,440.53,0.2,37.04
10156,2022-09-25,2022-09-27,South,Georgia,Office Supplies,Paper,Consumer,Second Class,1,87.1,0.0,1.48
10157,2023-02-22,2023-02-25,Central,Ohio,Office Supplies,Pens,Consumer,Standard Class,9,4191.7,0.3,-589.75
10158,2022-02-02,2022-02-06,Central,Ohio,Technology,Copiers,Home Office,Same Day,6,616.31,0.5,-129.16
10159,2022-02-17,2022-02-22,South,Louisiana,Office Supplies,Paper,Home Office,First Class,9,218.98,0.1,-40.64
10160,2023-02-11,2023-02-16,West,Oregon,Technology,Copiers,Corporate,Same Day,5,1871.6,0.1,297.55
10161,2022-03-03,2022-03-07,West,Washington,Furniture,Chairs,Corporate,Second Class,7,732.45,0.5,-250.16
10162,2022-08-04,2022-08-10,West,Washington,Office Supplies,Pens,Home Office,Second Class,1,284.32,0.1,19.05
10163,2022-10-20,2022-10-22,South,Georgia,Furniture,Tables,Corporate,Standard Class,8,3289.22,0.2,100.37
10164,2022-04-09,2022-04-14,Central,Ohio,Furniture,Bookcases,Consumer,Second Class,9,4336.79,0.3,-579.78
10165,2022-06-21,2022-06-24,East,New York,Furniture,Bookcases,Corporate,Standard Class,5,301.15,0.3,-109.35
10166,2022-12-26,2022-12-28,West,California,Furniture,Tables,Home Office,Same Day,4,172.96,0.2,-46.15
10167,2022-08-02,2022-08-05,East,Massachusetts,Furniture,Chairs,Consumer,Second Class,6,2143.2,0.0,-259.41
10168,2023-04-20,2023-04-21,West,California,Furniture,Chairs,Home Office,Same Day,8,259.31,0.1,63.55
10169,2022-02-04,2022-02-06,South,Louisiana,Technology,Accessories,Consumer,Standard Class,4,1309.24,0.3,-92.78
10170,2023-03-25,2023-03-30,South,Louisiana,Office Supplies,Pens,Corporate,Second Class,7,295.1,0.0,3.48
10171,2022-08-15,2022-08-17,South,Louisiana,Furniture,Chairs,Home Office,Same Day,3,401.19,0.1,-68.42
10172,2022-04-11,2022-04-13,East,Florida,Office Supplies,Paper,Home Office,Standard Class,2,997.18,0.0,-98.62
10173,2023-03-07,2023-03-09,Central,Illinois,Office Supplies,Paper,Consumer,Second Class,9,811.58,0.5,-246.04
10174,2023-04-07,2023-04-13,Central,Ohio,Furniture,Tables,Corporate,Same Day,4,1686.3,0.3,-206.98
10175,2022-05-11,2022-05-13,Central,Texas,Technology,Accessories,Corporate,Second Class,3,1427.77,0.3,-620.15
10176,2022-09-14,2022-09-17,East,Massachusetts,Furniture,Chairs,Consumer,Standard Class,5,2278.34,0.5,-753.53
10177,2022-01-05,2022-01-06,Central,Illinois,Furniture,Tables,Corporate,Standard Class,6,2294.68,0.5,-362.59
10178,2022-08-06,2022-08-10,South,Louisiana,Furniture,Tables,Corporate,Standard Class,1,167.16,0.1,-23.98
10179,2022-09-12,2022-09-14,West,Washington,Furniture,Tables,Corporate,Same Day,1,329.32,0.3,-55.53
10180,2023-02-02,2023-02-07,West,California,Technology,Accessories,Consumer,Standard Class,8,704.24,0.0,200.22
10181,2022-12-25,2022-12-27,Central,Ohio,Furniture,Tables,Consumer,Same Day,5,426.46,0.2,30.87
10182,2022-10-10,2022-10-15,South,Georgia,Technology,Copiers,Consumer,Second Class,4,75.01,0.5,-43.83
10183,2023-01-28,2023-01-31,East,Florida,Office Supplies,Binders,Home Office,Standard Class,5,2284.0,0.1,133.21
10184,2022-07-26,2022-07-31,East,Massachusetts,Office Supplies,Pens,Corporate,First Class,9,95.43,0.0,14.66
10185,2022-01-15,2022-01-19,West,Oregon,Technology,Phones,Consumer,First Class,4,883.4,0.0,-61.47
10186,2022-12-12,2022-12-13,Central,Texas,Technology,Phones,Corporate,Same Day,6,1771.0,0.5,-628.47
10187,2022-02-11,2022-02-16,West,Oregon,Office Supplies,Binders,Consumer,Second Class,8,1296.62,0.5,-745.83
10188,2023-01-15,2023-01-20,East,Florida,Office Supplies,Binders,Consumer,First Class,5,227.49,0.1,-2.28
10189,2023-04-06,2023-04-07,South,Georgia,Furniture,Bookcases,Corporate,Same Day,6,917.49,0.5,-249.07
10190,2022-06-28,2022-07-02,East,Massachusetts,Technology,Phones,Home Office,Second Class,6,2728.99,0.2,-299.5
10191,2022-03-04,2022-03-06,West,Oregon,Furniture,Bookcases,Corporate,Standard Class,8,652.01,0.3,28.25
10192,2022-12-18,2022-12-23,South,Louisiana,Furniture,Bookcases,Corporate,Same Day,6,1877.38,0.3,-520.02
10193,2022-08-19,2022-08-20,East,New York,Furniture,Chairs,Corporate,Standard Class,8,118.3,0.3,-48.95
10194,2022-08-29,2022-09-01,West,Oregon,Furniture,Chairs,Consumer,Same Day,1,53.05,0.5,-32.29
10195,2022-02-21,2022-02-22,Central,Texas,Furniture,Tables,Home Office,Same Day,4,741.29,0.1,176.97
10196,2022-04-06,2022-04-09,Central,Ohio,Furniture,Bookcases,Consumer,Second Class,2,825.01,0.1,-137.17
10197,2023-01-23,2023-01-27,South,Alabama,Office Supplies,Pens,Home Office,Standard Class,1,476.26,0.5,-141.34
10198,2022-08-10,2022-08-12,Central,Ohio,Furniture,Chairs,Consumer,Second Class,6,1808.64,0.0,-224.3
10199,2023-04-30,2023-05-01,Central,Ohio,Office Supplies,Pens,Consumer,Second Class,9,3216.96,0.1,201.55
10200,2023-02-11,2023-02-17,West,Washington,Office Supplies,Pens,Corporate,Same Day,4,705.32,0.2,-76.03
10201,2022-08-19,2022-08-24,East,Florida,Technology,Accessories,Home Office,Standard Class,4,1123.88,0.1,159.5
10202,2022-08-25,2022-08-29,West,Washington,Furniture,Chairs,Corporate,Same Day,3,89.91,0.3,-7.57
10203,2022-05-23,2022-05-24,West,California,Furniture,Bookcases,Home Office,Standard Class,2,79.15,0.3,-29.3
10204,2022-06-20,2022-06-25,West,California,Furniture,Chairs,Consumer,First Class,3,352.24,0.3,-27.43
10205,2022-01-29,2022-01-30,West,California,Office Supplies,Paper,Home Office,Same Day,7,1557.44,0.2,-419.21
10206,2022-02-05,2022-02-08,South,Alabama,Technology,Copiers,Home Office,First Class,6,2174.45,0.5,-330.15
10207,2022-01-13,2022-01-14,South,Alabama,Technology,Phones,Consumer,First Class,9,2265.35,0.3,-793.39
10208,2022-06-09,2022-06-15,South,Georgia,Furniture,Tables,Corporate,First Class,3,354.22,0.0,95.72
10209,2022-11-23,2022-11-24,South,Alabama,Technology,Accessories,Corporate,Second Class,1,435.45,0.1,52.84
10210,2022-07-06,2022-07-07,Central,Ohio,Furniture,Bookcases,Home Office,First Class,4,1272.38,0.3,-336.52
10211,2022-08-31,2022-09-06,West,California,Furniture,Tables,Consumer,Standard Class,4,1029.5,0.1,188.93
10212,2022-03-27,2022-03-31,Central,Illinois,Furniture,Bookcases,Consumer,Same Day,9,2024.29,0.5,-915.47
10213,2022-10-11,2022-10-12,West,Washington,Office Supplies,Binders,Consumer,Same Day,4,1751.91,0.1,256.62
10214,2022-03-07,2022-03-13,Central,Texas,Furniture,Bookcases,Consumer,Same Day,7,1019.52,0.2,-212.13
10215,2022-06-19,2022-06-24,East,Massachusetts,Furniture,Tables,Corporate,Standard Class,3,945.76,0.5,-268.07
10216,2022-02-14,2022-02-17,West,Washington,Furniture,Chairs,Corporate,First Class,3,1170.72,0.3,5.29
10217,2022-03-03,2022-03-06,South,Louisiana,Office Supplies,Binders,Home Office,Standard Class,7,2239.61,0.1,-357.24
10218,2023-03-17,2023-03-18,West,California,Technology,Copiers,Corporate,Same Day,5,219.38,0.0,-5.79
10219,2022-05-14,2022-05-18,West,California,Office Supplies,Paper,Consumer,Same Day,8,2351.31,0.3,-360.98
10220,2022-10-11,2022-10-15,Central,Illinois,Technology,Copiers,Corporate,Standard Class,6,1977.24,0.0,661.79
10221,2022-01-28,2022-02-02,West,Oregon,Furniture,Bookcases,Consumer,Standard Class,2,860.83,0.5,-419.57
10222,2022-04-18,2022-04-19,Central,Illinois,Office Supplies,Pens,Consumer,Same Day,8,2426.96,0.3,84.73
10223,2022-02-13,2022-02-16,Central,Ohio,Technology,Copiers,Corporate,First Class,3,679.78,0.1,-17.41
10224,2022-12-06,2022-12-10,East,Massachusetts,Office Supplies,Paper,Home Office,Standard Class,9,1990.21,0.3,-310.59
10225,2022-10-13,2022-10-14,South,Georgia,Office Supplies,Paper,Home Office,Second Class,1,133.74,0.3,-34.82
10226,2023-03-22,2023-03-26,Central,Texas,Office Supplies,Pens,Consumer,First Class,5,923.99,0.3,-196.52
10227,2022-11-27,2022-12-03,Central,Illinois,Furniture,Chairs,Consumer,First Class,1,355.64,0.3,-6.36
10228,2022-05-08,2022-05-12,West,Washington,Office Supplies,Pens,Corporate,Same Day,6,665.17,0.5,-420.99
10229,2022-12-14,2022-12-17,East,Massachusetts,Technology,Accessories,Corporate,First Class,2,140.51,0.5,-25.53
10230,2023-04-18,2023-04-20,West,Washington,Furniture,Chairs,Consumer,Same Day,1,69.83,0.5,-12.78
10231,2022-08-19,2022-08-24,East,Florida,Office Supplies,Pens,Corporate,Second Class,5,303.11,0.2,-99.79
10232,2022-07-09,2022-07-14,West,Oregon,Furniture,Chairs,Home Office,Standard Class,4,1973.8,0.2,-685.95
10233,2022-08-13,2022-08-16,West,Washington,Office Supplies,Binders,Home Office,Second Class,2,336.67,0.5,-72.73
10234,2023-01-20,2023-01-24,East,Massachusetts,Furniture,Chairs,Home Office,First Class,8,2101.14,0.1,-165.3
10235,2023-01-12,2023-01-13,Central,Ohio,Furniture,Bookcases,Corporate,First Class,6,470.57,0.5,-272.1
